 ,Label,Area,Mean,Mode,Min,Max,Median,Slice
246,OP_1_reg.tif:246,231,1650.126,1364,901,2907,1547,246
247,OP_1_reg.tif:247,231,1642.472,1044,879,2847,1546,247
248,OP_1_reg.tif:248,231,1632.225,1094,960,2896,1532,248
249,OP_1_reg.tif:249,231,1628.515,1236,886,2851,1530,249
250,OP_1_reg.tif:250,231,1613.745,866,866,2832,1504,250
251,OP_1_reg.tif:251,231,1605.351,1739,973,2833,1496,251
252,OP_1_reg.tif:252,231,1581.541,965,934,2748,1473,252
253,OP_1_reg.tif:253,231,1563.861,1147,863,2708,1470,253
254,OP_1_reg.tif:254,231,1530.212,1096,881,2742,1436,254
255,OP_1_reg.tif:255,231,1504.879,1438,865,2576,1407,255
256,OP_1_reg.tif:256,231,1467.160,1330,831,2511,1389,256
257,OP_1_reg.tif:257,231,1432.126,1121,922,2401,1343,257
258,OP_1_reg.tif:258,231,1396.762,1188,802,2333,1326,258
259,OP_1_reg.tif:259,231,1365.203,909,821,2248,1285,259
260,OP_1_reg.tif:260,231,1328.208,1071,843,2180,1249,260
261,OP_1_reg.tif:261,231,1301.753,1211,845,2114,1227,261
262,OP_1_reg.tif:262,231,1269.879,862,828,2060,1211,262
263,OP_1_reg.tif:263,231,1241.978,1020,821,2002,1176,263
264,OP_1_reg.tif:264,231,1213.996,1101,789,1931,1163,264
265,OP_1_reg.tif:265,231,1186.013,931,764,1874,1137,265
266,OP_1_reg.tif:266,231,1168.338,1128,838,1832,1109,266
267,OP_1_reg.tif:267,231,1150.390,1119,780,1778,1110,267
268,OP_1_reg.tif:268,231,1137.242,941,823,1733,1084,268
269,OP_1_reg.tif:269,231,1119.883,971,755,1692,1078,269
270,OP_1_reg.tif:270,231,1111.082,1032,769,1685,1073,270
271,OP_1_reg.tif:271,231,1100.316,1018,787,1661,1054,271
272,OP_1_reg.tif:272,231,1087.130,791,776,1626,1043,272
273,OP_1_reg.tif:273,231,1077.541,943,766,1575,1036,273
274,OP_1_reg.tif:274,231,1071.887,1122,734,1601,1021,274
275,OP_1_reg.tif:275,231,1061.152,817,741,1551,1015,275
276,OP_1_reg.tif:276,231,1051.883,1081,787,1545,1006,276
277,OP_1_reg.tif:277,231,1049.515,923,779,1528,1001,277
278,OP_1_reg.tif:278,231,1045.273,869,788,1551,995,278
279,OP_1_reg.tif:279,231,1037.338,826,739,1515,999,279
280,OP_1_reg.tif:280,231,1035.844,865,759,1515,995,280
281,OP_1_reg.tif:281,231,1030.004,847,750,1531,993,281
282,OP_1_reg.tif:282,231,1025.892,784,744,1515,982,282
283,OP_1_reg.tif:283,231,1023.398,877,747,1512,984,283
284,OP_1_reg.tif:284,231,1019.074,846,741,1488,982,284
285,OP_1_reg.tif:285,231,1020.290,784,741,1471,975,285
286,OP_1_reg.tif:286,231,1020.121,892,726,1478,980,286
287,OP_1_reg.tif:287,231,1025.667,982,739,1522,995,287
288,OP_1_reg.tif:288,231,1023.550,841,737,1469,983,288
289,OP_1_reg.tif:289,231,1024.905,973,779,1468,987,289
290,OP_1_reg.tif:290,231,1019.052,898,736,1477,978,290
291,OP_1_reg.tif:291,231,1018.991,788,768,1464,980,291
292,OP_1_reg.tif:292,231,1026.316,871,782,1463,990,292
293,OP_1_reg.tif:293,231,1026.160,870,733,1490,993,293
294,OP_1_reg.tif:294,231,1026.455,1146,778,1485,988,294
295,OP_1_reg.tif:295,231,1025.740,802,759,1483,988,295
296,OP_1_reg.tif:296,231,1024.290,779,717,1499,989,296
297,OP_1_reg.tif:297,231,1017.671,876,715,1485,984,297
298,OP_1_reg.tif:298,231,1012.745,782,755,1475,977,298
299,OP_1_reg.tif:299,231,1006.818,811,750,1481,965,299
300,OP_1_reg.tif:300,231,1006.684,899,733,1512,969,300
301,OP_1_reg.tif:301,231,1005.455,862,739,1440,968,301
302,OP_1_reg.tif:302,231,1004.429,941,735,1468,959,302
303,OP_1_reg.tif:303,231,1001.636,787,729,1465,962,303
304,OP_1_reg.tif:304,231,1004.771,767,712,1464,970,304
305,OP_1_reg.tif:305,231,1000.645,837,732,1465,965,305
306,OP_1_reg.tif:306,231,993.117,939,739,1497,954,306
307,OP_1_reg.tif:307,231,987.494,864,719,1439,947,307
308,OP_1_reg.tif:308,231,989.377,925,706,1448,947,308
309,OP_1_reg.tif:309,231,986.671,881,694,1449,952,309
310,OP_1_reg.tif:310,231,982.359,833,696,1406,941,310
311,OP_1_reg.tif:311,231,984.186,975,731,1427,945,311
312,OP_1_reg.tif:312,231,978.498,841,686,1447,945,312
313,OP_1_reg.tif:313,231,975.225,986,710,1445,940,313
314,OP_1_reg.tif:314,231,974.065,769,693,1413,938,314
315,OP_1_reg.tif:315,231,975.312,818,695,1411,943,315
316,OP_1_reg.tif:316,231,976.329,880,694,1428,934,316
317,OP_1_reg.tif:317,231,971.108,840,701,1447,935,317
318,OP_1_reg.tif:318,231,975.126,798,700,1431,940,318
319,OP_1_reg.tif:319,231,976.117,762,706,1428,936,319
320,OP_1_reg.tif:320,231,974.173,776,708,1421,938,320
321,OP_1_reg.tif:321,231,974.805,790,698,1414,939,321
322,OP_1_reg.tif:322,231,976.074,909,688,1421,932,322
323,OP_1_reg.tif:323,231,971.498,887,693,1412,934,323
324,OP_1_reg.tif:324,231,973.671,928,705,1433,930,324
325,OP_1_reg.tif:325,231,971.554,820,706,1410,934,325
326,OP_1_reg.tif:326,231,970.558,831,708,1431,933,326
327,OP_1_reg.tif:327,231,968.069,796,691,1417,926,327
328,OP_1_reg.tif:328,231,965.991,830,701,1444,931,328
329,OP_1_reg.tif:329,231,968.515,833,704,1426,931,329
330,OP_1_reg.tif:330,231,968.160,732,681,1429,924,330
331,OP_1_reg.tif:331,231,968.948,848,708,1424,923,331
332,OP_1_reg.tif:332,231,963.965,859,698,1429,924,332
333,OP_1_reg.tif:333,231,963.628,872,700,1419,918,333
334,OP_1_reg.tif:334,231,962.654,844,707,1416,924,334
335,OP_1_reg.tif:335,231,963.788,827,702,1420,923,335
336,OP_1_reg.tif:336,231,964.338,761,709,1402,927,336
337,OP_1_reg.tif:337,231,966.788,756,705,1420,926,337
338,OP_1_reg.tif:338,231,965.169,811,715,1419,923,338
339,OP_1_reg.tif:339,231,964.931,905,712,1426,930,339
340,OP_1_reg.tif:340,231,968.139,1049,691,1415,926,340
341,OP_1_reg.tif:341,231,967.104,828,687,1432,928,341
342,OP_1_reg.tif:342,231,966.048,853,714,1426,927,342
343,OP_1_reg.tif:343,231,969.281,830,705,1425,928,343
344,OP_1_reg.tif:344,231,965.247,944,713,1418,932,344
345,OP_1_reg.tif:345,231,967.411,797,684,1422,932,345
346,OP_1_reg.tif:346,231,965.675,781,706,1410,928,346
347,OP_1_reg.tif:347,231,965.801,819,714,1418,925,347
348,OP_1_reg.tif:348,231,960.424,808,713,1388,919,348
349,OP_1_reg.tif:349,231,960.420,724,717,1419,926,349
350,OP_1_reg.tif:350,231,956.074,835,721,1417,929,350
351,OP_1_reg.tif:351,231,958.459,850,674,1394,913,351
352,OP_1_reg.tif:352,231,960.104,808,682,1411,923,352
353,OP_1_reg.tif:353,231,959.935,765,684,1397,922,353
354,OP_1_reg.tif:354,231,960.035,810,684,1411,920,354
355,OP_1_reg.tif:355,231,960.190,903,698,1409,913,355
356,OP_1_reg.tif:356,231,960.303,832,695,1423,923,356
357,OP_1_reg.tif:357,231,955.403,738,709,1407,919,357
358,OP_1_reg.tif:358,231,956.126,753,708,1410,918,358
359,OP_1_reg.tif:359,231,957.792,808,711,1407,918,359
360,OP_1_reg.tif:360,231,957.095,800,702,1398,920,360
